,rank,nct number,title,acronym,status,study results,conditions,interventions,outcome measures,sponsor/collaborators,gender,age,phases,enrollment,funded bys,study type,study designs,other ids,start date,primary completion date,completion date,first posted,results first posted,last update posted,locations,study documents,url,duration,ftype2,cond1,allocation,interv_mod2,mask1,purp1
380,381,NCT03192202,AFM13 in Relapsed/Refractory Cutaneous Lymphomas,,Completed,No Results Available,"Lymphoma, T-Cell, Cutaneous",Drug: AFM13,"Percentage of Intratumoral NK-cells and T-cells infiltration into tumors|Number of immune cells (NK cells, T cells, and others) in tumor and peripheral blood|Level of plasma cytokine production plus release in tumor and peripheral blood as a function of treatment|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Overall Response Rate (ORR)|Duration of Response (DOR) after treatment with AFM 13|Progression Free Survival (PFS) after treatment with AFM 13",Ahmed Sawas|Columbia University,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,18.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AAAP4461,2017-07-17,"April 1, 2020",2020-04-01,"June 20, 2017",,"July 16, 2020","Center for Lymphoid Malignancies, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03192202,989.0,Not Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
381,382,NCT02059239,Bendamustine Bridge to Autologous or Allogeneic Transplant for Relapsed/Refractory Lymphoma,,Completed,Has Results,Hodgkin's Lymphoma|Non-Hodgkin's Lymphoma,Drug: Bendamustine|Drug: Carmustine|Drug: Etoposide|Drug: Melphalan|Drug: Cytarabine|Drug: Alemtuzumab|Biological: Autologous Stem Cell Transplantation|Biological: Allogeneic Stem Cell Transplantation|Drug: Rituximab,Number of Patients Able to Proceed to Transplant|Number of Patients Achieving Neutrophil Engraftment|Number of Patients Achieving Platelet Engraftment|Overall Survival at Day 100 Post-Transplant|Overall Survival at Day 365 Post-Transplant|Transplant-Related Mortality|Disease Response Following Salvage Chemotherapy|Disease Response 30 Days Post-Transplant|Disease Response at 1 Year Post-Transplant|Progression-Free Survival After Stem Cell Transplant,Weill Medical College of Cornell University,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,34.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1208012875,2014-06-04,"December 16, 2019",2020-06-15,"February 11, 2014","February 21, 2021","February 21, 2021","Weill Cornell Medical College, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/39/NCT02059239/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02059239,2203.0,Not Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
382,383,NCT00003356,Rituximab Plus Interleukin-2 in Treating Patients With Lymphoma,,Completed,No Results Available,Lymphoma,Biological: aldesleukin|Biological: rituximab,,University of Rochester|National Cancer Institute (NCI),All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,58.0,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000066338|P30CA011198|URCC-U4497|NCI-G98-1442,1997-11-01,May 2002,2002-05-01,"March 22, 2004",,"October 16, 2013","University of Rochester Cancer Center, Rochester, New York, United States",,https://ClinicalTrials.gov/show/NCT00003356,1642.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,N/A,Treatment/Diagnostic
383,384,NCT00299182,Study of AMG 531 to Evaluate the Safety & Efficacy in Patients With Non-Hodgkin's Lymphoma,,Completed,Has Results,Lymphoma,Drug: AMG 531|Drug: Rituximab|Drug: Cyclophosphamide|Drug: Vincristine|Drug: Doxorubicin|Drug: Dexamethasone|Drug: Methotrexate|Drug: Cytarabine|Drug: Placebo,Platelet (PLT) Nadir|Days Platelets Count of < 100K/μL,M.D. Anderson Cancer Center|Amgen,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,50.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",2005-0146,2006-03-01,April 2012,2012-04-01,"March 6, 2006","September 21, 2021","September 21, 2021","UT MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00299182,2223.0,Not Industry Lead,Less than three Conditions,Randomized,None-Crossover Assignment,Not Open Label,Treatment/Diagnostic
384,385,NCT01078142,"Temsirolimus, Bendamustine and Rituximab for Relapsed Follicular Lymphoma or Mantle Cell Lymphoma",BERT,Completed,No Results Available,Follicular Lymphoma|Mantle Cell Lymphoma,"Drug: Temsirolimus, Rituximab, Bendamustin",Phase I: MTD / Phase II: ORR|Progression free survival,"Georg Hess, MD|Wyeth is now a wholly owned subsidiary of Pfizer|Mundipharma Pte Ltd.|Johannes Gutenberg University Mainz",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,39.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,341,2010-02-02,"September 8, 2017",2017-09-08,"March 2, 2010",,"September 11, 2017","Universitätsmedizin Mainz, Mainz, Rheinland-Pfalz, Germany",,https://ClinicalTrials.gov/show/NCT01078142,2775.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
385,386,NCT00043420,CPG 7909 in Patients With Cutaneous T-Cell Lymphoma,,Completed,No Results Available,"Lymphoma, T-Cell, Cutaneous",Drug: PF-3512676,"Safety: Adverse events, vital signs, clinical and laboratory parameters, physical exams, and ECGs|Efficacy: Evaluate tumor response as measured by the Composite Assessment of Index Lesion Disease Severity (CA). The primary endpoint will be the overall tumor response rate as assessed by the CA.|Secondary efficacy endpoints include disease response assessed by the PGA, duration of overall response, duration of CCR, duration of PR, time to response and time to progression of disease.",Pfizer,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,42.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"C014|CO14, A8501014",2003-01-01,March 2007,2007-03-01,"August 12, 2002",,"February 12, 2009",,,https://ClinicalTrials.gov/show/NCT00043420,1520.0,Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
387,388,NCT00688415,Safety and Pharmacologic Study of VTX-2337 in Patients With Advanced Cancer,,Completed,No Results Available,Advanced Solid Tumors|Lymphoma,Drug: VTX-2337,Safety and identification of dose-limiting toxicities|Pharmacokinetics|Pharmacodynamics|Identification of the MTD,Celgene,All,"18 Years and older   (Adult, Older Adult)",Phase 1,33.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,VRXP-A101,2008-11-07,August 2010,2010-11-01,"June 3, 2008",,"September 25, 2019","Mayo Clinic, Scottsdale, Arizona, United States|Scottsdale Healthcare, Scottsdale, Arizona, United States",,https://ClinicalTrials.gov/show/NCT00688415,724.0,Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Other/Basic/Prevention
388,389,NCT00059995,MDX-060 Monoclonal Antibody in Treating Patients With Refractory or Relapsed Lymphoma,,Completed,No Results Available,Lymphoma,Biological: iratumumab,,Memorial Sloan Kettering Cancer Center|National Cancer Institute (NCI),All,"12 Years and older   (Child, Adult, Older Adult)",Phase 1|Phase 2,,Other|NIH,Interventional,Masking: None (Open Label)|Primary Purpose: Treatment,MDX-060-01|MSKCC-02121|CDR0000298995,2003-01-01,October 2007,2009-11-01,"May 7, 2003",,"May 30, 2013","Mayo Clinic Cancer Center, Rochester, Minnesota, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Arthur G. James Cancer Hospital and Solove Research Institute at Ohio State University, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT00059995,2496.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
389,390,NCT00244985,Rituximab and Liposomal Doxorubicin in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma,,Completed,Has Results,Lymphoma,Biological: rituximab|Drug: pegylated liposomal doxorubicin hydrochloride,Complete Response Rate at 20 Weeks|Partial Response Rate at 20 Weeks|Overall Response Rate (Complete and Partial Responses) at 20 Weeks|Progression Free Survival (PFS) Rate at 2 Years|Overall Survival (OS) Rate at 2 Years,"Roswell Park Cancer Institute|Ortho Biotech, Inc.",All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 1|Phase 2,42.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000447130|RPC 02-04,2005-09-01,August 2008,2012-12-01,"October 27, 2005","July 14, 2017","August 17, 2017","Roswell Park Cancer Institute, Buffalo, New York, United States",,https://ClinicalTrials.gov/show/NCT00244985,2648.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
390,391,NCT00761384,"High Dose, Absorbed Dose Adjusted 90Y-ibritumomab With Peripheral Blood Stem Cells (PBSC) Support in B-cell Lymphoma",HITT,Completed,No Results Available,B-cell Lymphoma,Drug: 90Y-ibritumomab,"Maximal tolerable dose (MTD) absorbed dose to the liver, safety and time to treatment failure (TTF)|Overall response (OR), complete response (CR), their duration, absorbed dose to normal organ and tumours, relapse pattern, the effect of radioimmunotherapy (RIT) in its own right as assessed by positron emission tomography (PET)",Lund University Hospital|Bayer,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,7.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,6th radioimmunotherapy prot.|EudraCT number: 2007-002762-35,2008-04-01,January 2016,2016-01-01,"September 29, 2008",,"February 19, 2016","Lund University Hospital, Lund, Sweden",,https://ClinicalTrials.gov/show/NCT00761384,2831.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
391,392,NCT00787527,SAHA + CHOP in Untreated T-cell Non-Hodgkin's Lymphoma,,Completed,Has Results,Lymphoma,Drug: Zolinza (vorinostat)|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone,Phase I Maximum Tolerated Dose (MTD) of Vorinostat|Number of Participants With Dose Limiting Toxicity for Determination Phase I (Schedule A) MTD of Vorinostat|Phase II MTD of Vorinostat,M.D. Anderson Cancer Center|Merck Sharp & Dohme LLC,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,14.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2008-0484,2008-11-01,December 2012,2012-12-01,"November 7, 2008","September 9, 2014","September 9, 2014","UT MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00787527,1491.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
392,393,NCT03974243,Chiauranib in Combination With Chidamide in Patients With Relapsed/Refractory Non-Hodgkin's Lymphoma,,Completed,No Results Available,Non-hodgkin's Lymphoma,Drug: Chiauranib|Drug: Chidamide,dose-limiting toxicity (DLT)|Area under the concentration versus time curve (AUC)|Peak plasma concentration (Cmax)|Time of Cmax (Tmax)|Objective response rate|complete response rate|disease control rate|time to progression|Progression free survival|Duration of response|Adverse events|Any single mutation of oncogene and copy number variation in ctDNA(single gene analysis)|Mutation of polygene and copy number variation in signal pathway(multi-gene analysis),"Chipscreen Biosciences, Ltd.",All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,9.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CAR106,2019-07-11,"December 31, 2021",2021-12-31,"June 4, 2019",,"March 9, 2022","Beijing Cancer Hospital, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT03974243,904.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
393,394,NCT00355472,Phase I Study of KW-0761 in Relapsed Patients With CCR4-Positive ATL and PTCL,,Completed,Has Results,Adult T-Cell Leukemia and Lymphoma (ATL)|Adult Peripheral T-Cell Lymphoma (PTCL),Drug: KW-0761,Incidence of Dose-Limiting Toxicities (DLTs)|Maximum Tolerated Dose (MTD)|Pharmacokinetics-Plasma KW-0761 Concentrations|Pharmacokinetics-Pharmacokinetic Parameters of KW-0761 (AUC0-7 Days)|Pharmacokinetics-Pharmacokinetic Parameters of KW-0761 (t1/2)|Antitumor Effect|Time to Progression (TTP),"Kyowa Kirin Co., Ltd.",All,"20 Years to 69 Years   (Adult, Older Adult)",Phase 1,16.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,0761-0501,2007-02-01,October 2008,2008-10-01,"July 24, 2006","September 7, 2012","October 18, 2012","Tokyo, Japan",,https://ClinicalTrials.gov/show/NCT00355472,608.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
394,395,NCT01976585,In Situ Vaccine for Low-Grade Lymphoma: Combination of Intratumoral Flt3L and Poly-ICLC With Low-Dose Radiotherapy,,Completed,No Results Available,Low-Grade B-cell Lymphoma,Drug: rhuFlt3L/CDX-301|Drug: Poly-ICLC,response rate|safety profile|tumor-specific immune response,Joshua Brody|Celldex Therapeutics|Icahn School of Medicine at Mount Sinai,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,21.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GCO 13-1347,2014-01-03,"November 20, 2020",2020-11-20,"November 6, 2013",,"September 22, 2022","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT01976585,2513.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
395,396,NCT00078637,Dosing and Safety Study of E7820 in Patients With a Malignant Solid Tumor or Lymphoma,,Completed,No Results Available,"Neoplasms|Lymphoma, Malignant",Drug: E7820,,Eisai Inc.,All,"18 Years and older   (Adult, Older Adult)",Phase 1,37.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,E7820-A001-102,2004-01-01,August 2006,2007-02-01,"March 5, 2004",,"December 23, 2014","San Antonio, Texas, United States",,https://ClinicalTrials.gov/show/NCT00078637,1127.0,Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
396,397,NCT01134341,Pralatrexate and Bexarotene in Patients With Relapsed or Refractory Cutaneous T-cell Lymphoma,,Completed,No Results Available,Cutaneous T-cell Lymphoma|Mycosis Fungoides|Sezary Syndrome|Primary Cutaneous Anaplastic Large Cell Lymphoma,Drug: Pralatrexate Injection|Drug: Bexarotene Capsules|Dietary Supplement: Vitamin B12|Dietary Supplement: Folic Acid,Dose Limiting Toxicity (DLT) Rate|Overall Response Rate (ORR)|Number of Patients with Treatment-related Adverse Events (AEs) and Serious AEs (SAEs)|Pharmacokinetic Parameters,Acrotech Biopharma Inc.,All,"18 Years and older   (Adult, Older Adult)",Phase 1,34.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PDX-018,2010-03-01,August 2015,2015-08-01,"June 2, 2010",,"December 18, 2019","Stanford University School of Medicine, Stanford, California, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, United States|MD Anderson Cancer Center, Houston, Texas, United States|Ospedale Sant'Orsola - Policlinico Sant'Orsola, Bologna, Italy",,https://ClinicalTrials.gov/show/NCT01134341,1979.0,Industry Lead,More than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
397,398,NCT00302757,Radioimmunotherapy With 90Y-ibritumomab Tiuxetan as Part of a Dose Reduced Conditioning Regimen for Allogeneic Hematopoietic Cell Transplantation for the Treatment of Non-Hodgkin Lymphoma,,Completed,No Results Available,Non-Hodgkin Lymphoma,Drug: Radioimmunotherapy|Procedure: allogeneic hematopoietic cell transplantation,treatment related toxicity|engraftment|disease response|relapse rate|disease free survival|overall survival|graft versus host disease (GVHD)|immunoreconstitution,University Hospital Tuebingen,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,60.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2005-002206-37,2006-03-01,,2011-07-01,"March 14, 2006",,"May 29, 2014","Medical Center Charite Benjamin Franklin, Berlin, Germany|University of Dresden Medical Center, Dresden, Germany|Center for Marrow Transplantation, University of Essen, Essen, Germany|Medical Center University of Goettingen, Goettingen, Germany|Medical Center University of Hannover, Hannover, Germany|Medical Center University of Leipzig, Leipzig, Germany|Medical Center University of Muenster, Muenster, Germany|South West German Cancer Center, University of Tuebingen Medical Center, Tuebingen, Germany|Medical Center University of Ulm, Ulm, Germany|Stiftung Deutsche Klinik für Diagnostik GmbH, Wiesbaden, Germany|University of Wuerzburg Medical Center, Wuerzburg, Germany",,https://ClinicalTrials.gov/show/NCT00302757,1948.0,Not Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
398,399,NCT00061880,BCX-1777 in Treating Patients With Refractory Cutaneous T-Cell Lymphoma,,Completed,No Results Available,Lymphoma,Drug: forodesine hydrochloride,,BioCryst Pharmaceuticals|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,,Industry,Interventional,Masking: None (Open Label)|Primary Purpose: Treatment,BIOCRYST-1777BC-103|CDR0000301763,2003-02-01,January 2005,2008-01-01,"June 6, 2003",,"May 30, 2013","University of Alabama at Birmingham Comprehensive Cancer Center, Birmingham, Alabama, United States|Duke Comprehensive Cancer Center, Durham, North Carolina, United States|University of Texas - MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00061880,1795.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
399,400,NCT00412321,"A Safety and Efficacy Study of CNTO 328 in Patients With B-Cell Non-Hodgkin's Lymphoma, Multiple Myeloma, or Castleman's Disease",,Completed,No Results Available,"Lymphoma, Non-Hodgkin|Multiple Myeloma|Giant Lymph Node Hyperplasia",Drug: CNTO 328,Number of Patients With Adverse Events as a Measure of Safety and Tolerability|Serum Concentration of CNTO 328|Pharmacodynamics of CNTO 328|Plasma antibodies to CNTO 328|Number of participants with Castleman's disease who achieved tumor response|Number of participants with multiple myeloma who achieved disease response|Number of participants with B-cell non-Hodgkin's lymphoma and multiple myeloma who achieved clinical benefit (CB)|Number of participants with Castleman's disease who achieved clinical benefit|Number of participants with B-cell non-Hodgkin's lymphoma who achieved disease response,"Centocor, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,67.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CR008566|C0328T03,2005-05-01,April 2011,2011-04-01,"December 18, 2006",,"July 1, 2014","Little Rock, Arkansas, United States|Tampa, Florida, United States|Atlanta, Georgia, United States|Box 302, New York, United States|New York, New York, United States|Chapel Hill, North Carolina, United States|Philadelphia, Pennsylvania, United States|Houston, Texas, United States|Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT00412321,2161.0,Industry Lead,Three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
400,401,NCT00572013,Rituxan and BEAM With Autologous Peripheral Blood Progenitor Transplant for Indolent Lymphoma,,Completed,No Results Available,Lymphoma,Drug: Rituxan|Drug: BEAM|Procedure: Autologous stem cell transplant,response rate|overall survival,University of Nebraska,All,"19 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,32.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,138-98|IRB#138-98,1998-05-01,January 2001,2009-09-01,"December 12, 2007",,"January 17, 2018","University of Nebraska Medical Center, Section of Oncology/Hematology, Omaha, Nebraska, United States",,https://ClinicalTrials.gov/show/NCT00572013,4141.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
401,402,NCT00031642,Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma That Has Relapsed After High-Dose Chemotherapy and Autologous Stem Cell Transplantation,,Completed,No Results Available,Lymphoma,Biological: rituximab|Radiation: yttrium Y 90 ibritumomab tiuxetan,Maximum tolerated dose|Safety and efficacy,University of Nebraska|Biogen,All,"19 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,26.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,535-00|CDR0000069211|NCI-V02-1691,2002-01-01,November 2005,2008-03-01,"January 27, 2003",,"December 17, 2013","UNMC Eppley Cancer Center at the University of Nebraska Medical Center, Omaha, Nebraska, United States",,https://ClinicalTrials.gov/show/NCT00031642,2251.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
402,403,NCT00052442,10-Propargyl-10-Deazaaminopterin in Treating Patients With Recurrent or Refractory Non-Hodgkin's Lymphoma or Hodgkin's Lymphoma,,Completed,Has Results,Lymphoma,Drug: pralatrexate,Response Rate|Toxicities of Pralatrexate,"Spectrum Pharmaceuticals, Inc|National Cancer Institute (NCI)|Memorial Sloan Kettering Cancer Center",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,72.0,Industry|NIH|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000258425|MSKCC-02078|NCI-H02-0100,2002-08-01,March 2009,2009-03-01,"January 27, 2003","August 25, 2021","August 25, 2021","Memorial Sloan-Kettering Cancer Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT00052442,2404.0,Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
403,404,NCT03010982,"Open-Label, Multi-Center, Two-Part, Ph1 Study to Characterize the PKs of an Intravenous Micro-Dose of [14C]-Tazemetostat (EPZ 6438) and the ADME of an Oral [14C]-Labeled Dose of Tazemetostat in Subjects With B-Cell Lymphomas or Adv Solid Tumors",,Completed,No Results Available,Diffuse Large B Cell Lymphoma|Primary Mediastinal Lymphoma|Mantle-Cell Lymphoma|Follicular Lymphoma|Marginal Zone Lymphoma|Advanced Solid Tumors,Drug: Tazemetostat and [14C] Tazemetostat,"Plasma PK of [14C] tazemetostat, tazemetostat, and its metabolite EPZ-6930 after IV administration of approximately 12 µg of [14C] tazemetostat containing approximately 500 nCi of radioactivity and oral BID administration of 800 mg tazemetostat (AUC 0-7)|Total recovery and relative excretion of radioactivity in urine and feces after an oral 800 mg dose of [14C] tazemetostat containing approximately 400 µCi (14.8 MBq) of radioactivity|Estimate tazemetostat absolute bioavailability (F) after repeated oral administration of 800 mg BID (AUC 0-12 and AUC 0-~)|Compare the total radioactivity concentration-time profiles in blood and plasma after oral administration of [14C] tazemetostat (AUC 0-t, AUC 0-12, AUC 0-~)|Determine peak plasma concentration (Cmax) after oral administration of [14C] tazemetostat|Determine the plasma terminal half-life (t1/2) after oral administration of [14C] tazemetostat|Plasma PK of tazemetostat and EPZ6930 after administration of an oral 800 mg dose of [14C] tazemetostat containing approximately 400 µCi (14.8 MBq) of radioactivity (Plasma AUC 0-t, AUC 0-12)|Determine the peak plasma concentration (Cmax) of tazemetostat and EPZ6930 after administration of an oral 800 mg dose of [14C] tazemetostat containing approximately 400 µCi (14.8 MBq) of radioactivity|Determine the time to peak plasma concentration (Tmax) tazemetostat and EPZ6930 after administration of an oral 800 mg dose of [14C] tazemetostat containing approximately 400 µCi (14.8 MBq) of radioactivity","Epizyme, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,3.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EZH-103,2018-06-20,"January 8, 2019",2019-01-08,"January 5, 2017",,"January 13, 2020","The Clatterbridge Cancer Centre NHS Foundation Trust, Bebington, Wirral, United Kingdom|Royal Liverpool and Broadgreen University Hospital Trust, Liverpool, United Kingdom",,https://ClinicalTrials.gov/show/NCT03010982,202.0,Industry Lead,More than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
404,405,NCT02243436,Brentuximab Vedotin in Pre-transplant Induction and Consolidation for Relapsed or Refractory Hodgkin Lymphoma,,Completed,No Results Available,CLASSICAL HODGKIN LYMPHOMA,Drug: Brentuximab Vedotin|Drug: Etoposide|Drug: Soludomerin|Drug: Cisplatin|Drug: Ara C,Recommended dose|Global response rate prior to ASCT|Complete response|Toxicity according to the CTC criteria|Stem cell mobilization capacity|Transplant-related mortality (TRM)|Overall Survival (OS)|Progression free survival (PFS)|Event-Free Survival|Time to HL Progression|Disease-Free Survival|Response Duration|Lymphoma-Specific Survival|Time to Next Treatment,"Grupo Español de Linfomas y Transplante Autólogo de Médula Ósea|Millennium Pharmaceuticals, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,67.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BRESHAP-GELTAMO.LH-2013|2014-000835-17,2014-11-11,January 2019,2019-01-14,"September 18, 2014",,"April 24, 2019","Hospital Universitario Central de Asturias, Oviedo, Asturias, Spain|Institut Català d'Oncologia, Hospital Germans Trias i Pujol, Badalona, Barcelona, Spain|Institut Català d'Oncologia, Hospital Duran i Reynals, L'Hospitalet de Llobregat, Barcelona, Spain|Hospital Son Espases, Palma, Islas Baleares, Spain|Hospital del Mar, Barcelona, Spain|Hospital Clinic i Provincial de Barcelona, Barcelona, Spain|Hospital General Universitario Gregorio Marañon, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital Universitario de Canarias, Santa Cruz de Tenerife, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Clínico de Valencia, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT02243436,1525.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
